name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,brand,value_score
"Lloyd 2.0 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Gol...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/318Bff9KCBL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS24I5FWGEV/dp/B0BRKWQSGL/ref=sr_1_63?qid=1679134240&s=kitchen&sr=1-63,4.0,49.0,52090,85990,Lloyd,13022.5
"Samsung 1.5 Ton 5 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71orowaO-xL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CYNAMWK/dp/B0BRQCKLKR/ref=sr_1_67?qid=1679134240&s=kitchen&sr=1-67,4.1,212.0,46499,73990,Samsung,11341.219512195123
"Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61sbGpSQptL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU18YKY4W/dp/B0BRHZVBN1/ref=sr_1_68?qid=1679134240&s=kitchen&sr=1-68,4.4,3.0,42990,59400,Panasonic,9770.454545454544
"Blue Star 1.5 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71mF5lrGA1L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA318LN/dp/B0BDML494F/ref=sr_1_69?qid=1679134240&s=kitchen&sr=1-69,3.9,79.0,30399,39500,Blue,7794.615384615385
"Blue Star 1.5 Ton 5 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71DSyQO7qHL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Window-Copper-WFA518LN/dp/B09RTGPRK7/ref=sr_1_70?qid=1679134240&s=kitchen&sr=1-70,4.2,468.0,34990,44500,Blue,8330.95238095238
"Panasonic 1 Ton 3 Star Inverter Split Air Conditioner (Copper, PM 2.5 Air Purification, 2022 Model, CS/CU-RU12XKYA, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61mcsP4PwML._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Purification-CS-CU-RU12XKYA/dp/B09R4DDVQV/ref=sr_1_71?qid=1679134240&s=kitchen&sr=1-71,4.2,317.0,32490,47100,Panasonic,7735.714285714285
"Amazon Basics 1 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Single Rotary Inverter Split AC (Copper Condense...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51s3yrWntML._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-1-5-Ton-Air-Conditioner/dp/B08J8QR9K7/ref=sr_1_72?qid=1679134240&s=kitchen&sr=1-72,3.6,88.0,28990,49089,Amazon,8052.777777777777
"IFB 1 Ton 3 Star Twin Inverter Split Fastcool Silver Series AC (Copper, PM 0.3 Filter, IACI12SA3G3C, 2021 Model, Ivory Matte)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51mGLhKGN3L._AC_UL320_.jpg,https://www.amazon.in/IFB-Inverter-Split-Copper-IACI12SA3G3C/dp/B0866ML94M/ref=sr_1_73?qid=1679134240&s=kitchen&sr=1-73,4.1,45.0,40618,42190,IFB,9906.829268292684
"Samsung 1.5 Ton 5 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71bYME6CHEL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-Bacteria-AR18CYNANWK/dp/B0BRQB5YBM/ref=sr_1_74?qid=1679134240&s=kitchen&sr=1-74,4.1,142.0,49349,75990,Samsung,12036.341463414636
"LG 1.5 Ton 3 Star DUAL Inverter Window AC (Copper, Convertible 4-in-1 cooling, HD Filter, 2022 Model, PW-Q18WUXA, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51aDPQpzC2L._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-cooling-PW-Q18WUXA/dp/B0BJBP7F1Z/ref=sr_1_75?qid=1679134240&s=kitchen&sr=1-75,4.2,5.0,37490,69990,LG,8926.190476190475
